from,to,cost,flow
14430,13769,3.321060052261393,53.110987
14429,13074,1.919438956649968,53.110987
14428,14036,1.5568600150569472,0.0
14427,14007,0.21019010153248344,0.0
14426,12302,2.593224102153302,384.86223
14425,13669,0.9481855111266585,0.0
14424,13676,0.6288742435738239,26.555494
14423,4948,3.454189963600703,0.0
14422,13742,1.2593298621429456,0.0
14421,13924,0.5779016035560702,88.518312
14420,13601,24.52433866719744,-0.0
14419,13072,0.6284552075355341,53.110987
14418,13765,5.011030288996038,-0.0
14417,13563,5.6150431822415445,-0.0
14416,12907,3.1202636326067488,53.110987
14415,13325,0.0885374867964021,-0.0
14414,12156,0.9354489771288592,-0.0
14413,12590,2.3916689977990484,26.555494
14412,13555,4.944277226160836,53.110987
14411,14345,2.8070388298174405,0.0
14410,13589,3.1597122969489235,53.110987
14409,4520,1.8997895589200924,0.0
14408,12477,6.463882971515732,53.110987
14407,13778,2.510677513192106,0.0
14406,13272,1.7570430801644399,0.0
14405,12467,2.685713498834668,25.98174
14404,13135,2.584504491352473,53.110987
14403,12614,3.455075903780173,138.5504
14402,13745,0.6208915434104607,27.71008
14401,6466,4.45958220926097,-0.0
14400,13213,3.7388241056397833,-0.0
14399,12140,1.0965480022029799,53.110987
14398,14011,0.7931470716377751,1e-12
14397,13075,9.45770667822691,27.71008
14396,13600,0.20490806421812197,0.0
14395,12712,0.4874571176356453,-0.0
14394,13307,7.309451904784638,0.0
14393,14027,0.8308525777356255,53.110987
14392,12970,6.393142721661334,0.0
14391,13930,3.025378042160523,26.555494
14390,12130,29.88136073732421,26.555494
14389,12997,0.8301471529098321,92.366934
13310,14388,4.207247056778417,11.850519
14387,14025,0.6830780243450562,53.110987
14386,13763,17.696745106458657,0.0
13263,14385,1.1265779428973428,27.115175
14384,12596,5.752225512823018,102.58023
14383,13138,1.4970239106065573,53.110987
14382,12821,3.1424520803418345,0.0
14381,14380,3.5292367877289923,-0.0
14380,12796,2.9487712773259678,-0.0
14379,12795,6.5420595165982185,0.0
14378,14227,34.39667621716232,-0.0
14377,14376,0.7421064852573463,0.0
14376,13759,10.946908142346041,-0.0
14375,12797,9.341888601682049,-0.0
14374,13834,0.7806024705974399,0.0
14373,6271,1.3950735449914733,27.71008
14372,12824,1.6628443641509978,-0.0
14371,12825,14.279480872300246,-0.0
14370,12654,0.8208557777021191,53.110987
14369,13291,2.6694948260485116,26.555494
14368,13118,10.911857395344418,92.366934
14367,12955,2.6276364195751425,53.110987
14366,12321,1.596984363324452,26.555494
14365,13995,0.635968530723094,26.555494
14364,4852,1.0961355680596365,0.0
14363,14079,8.392588608601374,27.71008
14362,12697,4.574521153819129,88.518312
14361,14231,12.523014301650406,92.366934
14360,12694,8.242237576871641,88.518312
14359,10786,7.834027528889677,0.0
14358,13873,1.5788959249782577,53.110987
14357,14356,0.6272730547936655,53.110987
14356,14355,0.8432016557475693,0.0
14355,14181,3.370493033048663,159.33296
14354,14181,2.7268027961500683,53.110987
14353,13873,0.8656810292309259,53.110987
14352,14351,0.4124718256923964,0.0
14351,13359,0.9812985085266532,106.22197
14350,14349,0.5919500455907729,53.110987
13872,14349,1.2903327175645785,53.110987
14348,13871,3.5938435182615334,0.0
