node,inflow,supply,max_supply,demand,outflow,lhs = inflow + supply,rhs = demand + outflow,flow_balance_ok,supply_ok
1,0.08877122436004584,2.224138390347843e-09,0.0,0.0,0.0887712265864029,0.08877122658418422,0.0887712265864029,True,True
2,0.10105963137655698,2.1035341773922553e-09,0.0,0.0,0.1010596334822091,0.10105963348009116,0.1010596334822091,True,True
3,0.090826739388228,2.2221626459846193e-09,0.0,0.0,0.09082674161260121,0.09082674161039064,0.09082674161260121,True,True
4,0.16259484244533712,2.0222497414350643e-09,0.0,0.0,0.1625948444695802,0.16259484446758685,0.1625948444695802,True,True
5,0.06487448202038024,2.1417085903992492e-09,0.0,0.0,0.064874484164228,0.06487448416208882,0.064874484164228,True,True
6,0.0902752170679718,2.044850318290256e-09,0.0,0.0,0.09027521911485689,0.09027521911282212,0.09027521911485689,True,True
7,0.12186637859953611,2.0088769032411075e-09,0.0,0.0,0.12186638061041923,0.12186638060841301,0.12186638061041923,True,True
8,0.10181012085296257,2.2228507197319173e-09,0.0,0.0,0.1018101230779749,0.10181012307581329,0.1018101230779749,True,True
9,0.16491482984612443,2.22529648923406e-09,0.0,0.0,0.16491483207363833,0.16491483207142094,0.16491483207363833,True,True
10,0.1352846185163818,2.211078171523565e-09,0.0,0.0,0.1352846207296745,0.13528462072745998,0.1352846207296745,True,True
11,0.1219907356634148,2.196720220046704e-09,0.0,0.0,0.1219907378623412,0.12199073786013502,0.1219907378623412,True,True
12,0.02516161531754215,2.045000668673607e-09,0.0,0.0,0.0251616173645974,0.02516161736254282,0.0251616173645974,True,True
13,0.1090183605842598,2.207562033814551e-09,0.0,0.0,0.1090183627940511,0.10901836279182184,0.1090183627940511,True,True
14,0.0891336107833932,2.1877037008193713e-09,0.0,0.0,0.0891336129732838,0.0891336129710969,0.0891336129732838,True,True
15,0.05843217936404394,2.2270421905644972e-09,0.0,0.0,0.058432181593278905,0.05843218159108613,0.058432181593278905,True,True
16,0.047262762208665085,2.210807235785418e-09,0.0,0.0,0.047262764421666305,0.047262764419472324,0.047262764421666305,True,True
