node,generation,max_supply
1,2.224138390347843e-09,0.0
2,2.1035341773922553e-09,0.0
3,2.2221626459846193e-09,0.0
4,2.0222497414350643e-09,0.0
5,2.1417085903992496e-09,0.0
6,2.044850318290256e-09,0.0
7,2.0088769032411075e-09,0.0
8,2.2228507197319177e-09,0.0
9,2.22529648923406e-09,0.0
10,2.2110781715235655e-09,0.0
11,2.196720220046704e-09,0.0
12,2.045000668673607e-09,0.0
13,2.207562033814551e-09,0.0
14,2.1877037008193713e-09,0.0
15,2.2270421905644977e-09,0.0
16,2.210807235785418e-09,0.0
17,2.0994920789199506e-09,0.0
18,2.207362145870812e-09,0.0
19,2.231678262657634e-09,0.0
20,2.1258536275666136e-09,0.0
21,2.151283348488324e-09,0.0
22,1.8922525861101006e-09,0.0
23,2.2259830348442388e-09,0.0
24,2.208916925852792e-09,0.0
25,2.044694029025659e-09,0.0
26,2.198990130621493e-09,0.0
27,1.9134203099364073e-09,0.0
28,2.2112749280222908e-09,0.0
29,2.2226133609052823e-09,0.0
30,2.207868823191463e-09,0.0
31,2.1988387838095156e-09,0.0
32,2.226592986255167e-09,0.0
33,2.0332910937181353e-09,0.0
34,2.209353895125831e-09,0.0
35,2.0564196107980444e-09,0.0
36,2.2222153291196543e-09,0.0
37,2.2305935450797326e-09,0.0
38,2.1983840996807175e-09,0.0
39,2.1988850467809358e-09,0.0
40,1.985093085725871e-09,0.0
41,2.225996919871572e-09,0.0
42,2.2071582935458665e-09,0.0
43,2.192529127927117e-09,0.0
44,2.221601873946708e-09,0.0
45,2.232273763958926e-09,0.0
46,2.02923887403395e-09,0.0
47,2.209897181710964e-09,0.0
48,2.2322208061156753e-09,0.0
49,2.0713023166801152e-09,0.0
50,2.1869485191677908e-09,0.0
51,2.226335537530262e-09,0.0
52,2.2323552567005187e-09,0.0
53,2.19847684887284e-09,0.0
54,2.194045368800621e-09,0.0
55,2.2010466719735816e-09,0.0
56,1.0779497889015983e-09,0.0
57,2.2318969788955033e-09,0.0
58,2.038645224739707e-09,0.0
59,2.2058723835662314e-09,0.0
60,2.1980359201783943e-09,0.0
61,2.1431676507303544e-09,0.0
62,2.169153842536684e-09,0.0
63,2.0384224621829953e-09,0.0
64,2.023129015612899e-09,0.0
65,2.2214976651245735e-09,0.0
66,2.150732304495422e-09,0.0
67,2.17245517686597e-09,0.0
68,2.1019052928402435e-09,0.0
69,2.1496908086315537e-09,0.0
70,2.197273920818329e-09,0.0
71,2.202726031393139e-09,0.0
72,2.2185834687550567e-09,0.0
73,2.2173123841649635e-09,0.0
74,2.20101939775373e-09,0.0
75,2.2111874684532316e-09,0.0
76,2.222602740421945e-09,0.0
77,2.0803555039754543e-09,0.0
78,2.207851549933157e-09,0.0
79,2.2116074937381514e-09,0.0
80,2.2027202618537175e-09,0.0
81,2.2130029224991536e-09,0.0
82,2.0416070467105503e-09,0.0
83,2.193428939300028e-09,0.0
84,2.2068740619979387e-09,0.0
85,2.100948101299724e-09,0.0
86,2.214236575448626e-09,0.0
87,2.2058286620303353e-09,0.0
88,2.097151124244677e-09,0.0
89,2.2090257317695035e-09,0.0
90,2.2125735509649362e-09,0.0
91,2.0703325778448832e-09,0.0
92,2.1030321665580054e-09,0.0
93,2.2180682048068837e-09,0.0
94,2.209003192624398e-09,0.0
95,2.169559071301114e-09,0.0
96,2.2027420572138525e-09,0.0
97,2.2075088055873093e-09,0.0
98,2.149954563683072e-09,0.0
99,2.2226175527878633e-09,0.0
100,2.2221734101428906e-09,0.0
101,2.0221912307802546e-09,0.0
102,2.2177384683869493e-09,0.0
103,2.197041714298261e-09,0.0
104,2.214068684976202e-09,0.0
105,2.1939542061597724e-09,0.0
106,2.0557249865367136e-09,0.0
107,2.044843034358889e-09,0.0
108,2.142252867129378e-09,0.0
109,2.227022249179999e-09,0.0
110,2.231751953340444e-09,0.0
111,2.046338691439775e-09,0.0
112,2.2052884726684734e-09,0.0
113,2.2163505872352456e-09,0.0
114,2.2062874829105175e-09,0.0
115,2.222857573904911e-09,0.0
116,2.231378720794482e-09,0.0
117,2.0016636290510494e-09,0.0
118,2.1944418214132873e-09,0.0
119,2.211287468107281e-09,0.0
120,2.210024212070155e-09,0.0
121,2.222309774227088e-09,0.0
122,2.2077143415037506e-09,0.0
123,2.2090161735116054e-09,0.0
124,2.2310106780911863e-09,0.0
125,2.1283967073129127e-09,0.0
126,2.170311165476958e-09,0.0
127,1.917629877734809e-09,0.0
128,2.2228578267816147e-09,0.0
129,2.2295295077532657e-09,0.0
130,2.0455318384351753e-09,0.0
131,2.226401540615181e-09,0.0
132,2.026903423102138e-09,0.0
133,2.0448154096418854e-09,0.0
134,2.0328987812081414e-09,0.0
135,2.211821080881015e-09,0.0
136,2.210285519953645e-09,0.0
137,2.209005635261272e-09,0.0
138,2.223027387599489e-09,0.0
139,2.037886195799356e-09,0.0
140,2.2073470900531975e-09,0.0
141,2.0213865358872837e-09,0.0
142,2.0862065077316002e-09,0.0
143,1.912061219500963e-09,0.0
144,2.1698677354294168e-09,0.0
145,2.205707390717669e-09,0.0
146,2.2027695672924445e-09,0.0
147,2.218172848621723e-09,0.0
148,2.2280741891159375e-09,0.0
149,2.2111643026297004e-09,0.0
150,2.113698604502711e-09,0.0
151,1.8810645804812304e-09,0.0
152,2.061001960390268e-09,0.0
153,2.2077446083362363e-09,0.0
154,2.2077652772605633e-09,0.0
155,2.20396630838188e-09,0.0
156,2.232433608005803e-09,0.0
157,1.9375582980246046e-09,0.0
158,2.0437648388892164e-09,0.0
159,2.1408164859920894e-09,0.0
160,2.2319648743962753e-09,0.0
161,2.1407307546448724e-09,0.0
162,2.052571680412453e-09,0.0
163,2.0738456307080286e-09,0.0
164,2.2133095203727206e-09,0.0
165,2.2320762898505936e-09,0.0
166,2.1700073774202383e-09,0.0
167,2.1997799803038693e-09,0.0
168,2.045445312064679e-09,0.0
169,2.214899416533346e-09,0.0
170,2.0791450987168045e-09,0.0
171,2.0956782172846968e-09,0.0
172,2.0406442959909796e-09,0.0
173,2.209223860002547e-09,0.0
174,2.0769859645537166e-09,0.0
175,2.207745965196374e-09,0.0
176,1.955816218526149e-09,0.0
177,2.207866503208618e-09,0.0
178,2.232013058327954e-09,0.0
179,2.1687311370664874e-09,0.0
180,2.210037748597554e-09,0.0
181,2.2178557483599092e-09,0.0
182,2.2065323395497374e-09,0.0
183,2.2296642916543627e-09,0.0
184,2.219804035026076e-09,0.0
185,2.2303927001949386e-09,0.0
186,2.2151200508963984e-09,0.0
187,2.2069346712315485e-09,0.0
188,2.208345722788619e-09,0.0
189,2.2315032391975016e-09,0.0
190,2.1393901474077794e-09,0.0
191,2.1604810051052192e-09,0.0
192,2.1942476602910343e-09,0.0
193,1.9158789239940734e-09,0.0
194,2.2309035200794724e-09,0.0
195,2.15703706737838e-09,0.0
196,2.2089299517654707e-09,0.0
197,2.197177037085814e-09,0.0
198,2.215575687990725e-09,0.0
199,1.9711801064219807e-09,0.0
200,2.163109274887288e-09,0.0
201,2.2109513136871443e-09,0.0
202,2.215924852273711e-09,0.0
203,2.03292084573544e-09,0.0
204,2.2323781276096563e-09,0.0
205,2.2109030143504814e-09,0.0
206,2.2111580842252383e-09,0.0
207,2.208777486691531e-09,0.0
208,2.212586896708063e-09,0.0
209,2.168676185121379e-09,0.0
210,2.17041856577423e-09,0.0
211,2.2056776716966983e-09,0.0
212,2.2164846450198925e-09,0.0
