from,to,cost,flow
14429,13074,0.10297971,53.11098523126786
14428,14036,0.084388589,26.55549266946327
14427,14007,0.011286409,13.277745813970549
14426,12302,0.137005493,384.8622247893557
13669,14425,0.050394028,9.153946251049464e-07
14424,13676,0.034078443,26.555491805919367
14423,4948,0.18516999,26.55549261632353
14422,13742,0.068259532,13.277745811366627
14421,13924,0.03007714,88.51831028109571
13601,14420,1.329322237,1.8971909030388298e-06
14419,13072,0.033316222,53.11098523243416
13765,14418,0.268214434,2.3513040864059166e-05
14417,13563,0.291478839,44.25915507469166
14416,12907,0.164635216,53.11098523958333
13325,14415,0.004676758,2.0123369954448886e-06
12156,14414,0.048456411,1.998654797314755e-06
14413,12590,0.124635537,26.55549176134907
14412,13555,0.258164596,53.110985425432595
14345,14411,0.14758375,53.09628258570155
14410,13589,0.170743001,53.11096008638479
14409,4520,0.101560229,274.2365092146291
14408,12477,0.345320787,53.110985350781114
14407,13778,0.132502947,8.85183057008792
14406,13272,0.091876438,13.277745813636104
14405,12467,0.141248654,25.98282577628941
14404,13135,0.135783573,53.11098523075341
14403,12614,0.184635981,138.55039973948908
14402,13745,0.033437588,13.855039138564678
6466,14401,0.23120233,1.9466661270179562e-06
13213,14400,0.194700145,1.948114910609857e-06
14399,12140,0.058684691,53.11098531079617
14398,14011,0.041870986,40.327234675054555
14397,13075,0.503875792,27.71007826436231
14396,13600,0.010787866,8.85183056025312
12712,14395,0.026239823,2.0193175200440236e-06
13307,14394,0.390286162,4.8539984364785536e-05
14393,14027,0.044042082,53.11098520303253
12970,14392,0.341941198,0.0003291625374850039
14391,13930,0.158403318,26.5554917857559
14390,12130,1.578485358,26.555491601820574
14389,12997,0.04501382,92.36693233581343
13310,14388,0.224342401,11.85067228276545
14387,14025,0.036841023,53.11098517660392
13763,14386,0.943060091,2.4100358759190354e-07
13263,14385,0.059523412,27.112289751753746
14384,12596,0.298114823,275.16524298189404
14383,13138,0.078658863,53.11098524124864
12821,14382,0.168991818,9.723933471680351e-07
14380,14381,0.182671212,1.9427701315391102e-06
12796,14380,0.153379343,3.885541712791363e-06
14379,12795,0.339278541,1.3867279365458595e-07
14227,14378,1.804352361,2.002819641748609e-06
14376,14377,0.038412426,9.739413416873863e-07
13759,14376,0.59215515,3.89576539758159e-06
12797,14375,0.501324906,1.9498552861389464e-06
14374,13834,0.042306939,0.017452555174999856
14373,6271,0.073939595,27.71007839546426
12824,14372,0.088444875,1.944342579709811e-06
12825,14371,0.755756417,1.9351383653317147e-06
14370,12654,0.0425158,53.11098538915271
14369,13291,0.143745274,26.555491703309617
14368,13118,0.590305875,92.36693232951686
14367,12955,0.138447342,53.110985268982596
14366,12321,0.08395709,26.55701494799319
14365,13995,0.034292059,26.55549167996162
14364,4852,0.057561066,8.851830541324217
14363,14079,0.453744041,27.710078323414503
14362,12697,0.247697675,88.51831024648551
14361,14231,0.67886565,92.36693234793537
14360,12694,0.446668351,88.51831023971192
14359,10786,0.418790742,44.259155091472316
14358,13873,0.082896477,53.11098523272232
14357,14356,0.033816381,53.11098523165413
14356,14355,0.04423066,53.110985231709535
14355,14181,0.182710696,159.33295994357647
14354,14181,0.143534735,53.110985232036114
14353,13873,0.046952094,53.1109852328394
14352,14351,0.022364963,17.703661744319817
14351,13359,0.052343114,106.22197046775675
14350,14349,0.032104244,53.12177826995958
13872,14349,0.06951488,53.09928236705266
14348,13871,0.188274558,0.00017374836805797596
14347,13869,0.023730878,10.419060826587533
14346,13809,0.028011385,53.110678539901194
14345,13506,0.17871965,0.007351325732776836
14344,13032,0.118309622,102.51237213667181
14343,13027,0.058577636,53.110985241467134
14342,13032,0.049574353,26.555492631682267
14341,1199,0.381688678,46.183466184314966
14340,13031,0.193033399,53.11098524049652
14339,14338,0.08414176,27.71007827663055
14338,13557,0.353894162,55.420156553540316
14337,13867,0.243697133,53.110985235148455
14336,13029,0.316037672,53.11098523745271
14335,4289,0.237673339,26.55549259559326
14334,2568,0.643006028,53.110985227898624
5816,14333,0.334594438,46.57727369021422
14332,13866,0.203479135,0.00014408913318787864
14331,12743,0.284769585,53.11098526350558
14330,12751,0.3136151,0.0008184321004568634
14329,12746,0.271951633,224.44259627527347
14328,1495,0.100566981,17.703518961035165
14327,13577,0.121708207,53.1109852644487
14326,12743,0.257850043,46.1834661710556
14325,13864,0.359647775,53.11098526211897
14324,12743,0.205782454,53.11098526378716
14323,13864,0.127212166,53.11098526294487
14322,13037,0.187965853,53.11098524655496
14321,5945,0.617535157,53.11098525978998
14320,2348,0.545856408,53.110985256794656
14319,13861,0.167637611,53.110985253314276
14318,13859,0.175665974,26.555492619428833
14317,13859,0.319593967,53.110985254308794
14316,12712,1.297726498,53.11098524625677
14315,13861,0.381592495,53.11098525257511
14314,13861,0.426016045,53.11098525242185
14313,12731,0.151650668,53.11098529548633
14312,7696,0.341786817,53.110985310901256
14311,14310,0.330682685,53.110985304231214
14310,14309,0.348553708,106.22197060979293
14309,12729,0.793336458,159.332955916762
14308,12727,0.08911698,26.555492656678343
14307,12672,0.105642905,53.11098530415837
14306,13857,0.425030579,92.36693240160174
14305,12766,0.24817855,26.555549040017993
14304,14301,0.110749453,27.710078338457322
14303,14285,0.079118802,13.855039171324277
14302,14289,0.137196381,13.855012213566281
14301,14295,0.151069139,27.710078338676965
14300,14284,0.278521621,53.11098529885424
14299,13854,0.183829694,53.11098529932701
14298,14297,0.264004573,53.110985300768405
14297,13849,0.211869771,106.22197060258823
14296,12764,0.436272909,54.26546143476142
14295,14293,0.184347123,0.0002516279324357695
14294,14290,0.219052917,53.1109853006969
13242,14293,0.136156298,0.0005976424508540438
14292,13728,0.052663449,26.5554926521086
14291,14288,0.143284468,0.0012328419729880765
14290,14289,0.050881973,106.22373022952071
14289,13220,0.043057186,187.04473995842554
14288,14286,0.051078151,26.556109072016753
14287,13700,0.06986269,26.55549264963854
14286,13700,0.191455417,106.2232034462996
14285,5013,0.09786988,133.93289821116852
14284,14267,0.215343086,80.8210636388116
14283,14266,0.115411388,0.0020029996131913867
14271,14282,0.081310137,809.1884667502627
14281,12055,0.666875701,192.4311112468129
11992,14280,0.165207515,1.9666134680802023e-06
14279,13917,0.05831179,26.555491802044553
14278,12363,0.226288676,26.555491792622277
14277,14037,0.04314994,53.11098532320654
14276,13294,0.041067367,0.7469329142041926
14275,12715,0.450794241,27.710078327900284
12131,14274,0.400552871,2.0284187790412763e-06
14273,13209,0.065375157,88.51831007942835
14272,13262,0.051088618,26.555492623398013
14267,14271,0.062247888,781.4783884092028
14270,13564,0.467144277,26.55549264692347
14269,14268,0.215223039,1.0245526920998954e-05
14268,14267,0.192460246,53.11099554557458
13854,14267,0.190619478,594.4353439240041
14266,13856,0.018838262,53.113057808663015
14265,14264,0.148592968,53.11098529837654
14264,14263,0.250909316,106.22192410063136
14263,13856,0.505523172,159.33290940058916
14262,13382,0.304533654,53.11098530055947
14261,14244,0.128323922,53.11098530216041
14260,12758,0.183717142,53.110985295087865
14259,339,0.377110166,53.11079713296698
14258,12679,0.797200914,27.7100783137349
14257,4042,0.402647581,27.71007832326009
14256,13329,0.203545374,13.855039163176588
14255,6817,0.443944991,53.11098528939704
14254,12715,0.405864369,26.555492639244434
14253,870,0.61389347,27.710078330002336
14252,13229,0.620650855,53.110985286190974
14251,399,0.249283637,53.110985298541905
14250,991,0.721591147,53.110985294022036
14249,13850,0.230238152,0.001654863402294255
14248,12763,0.236376964,53.1109852960544
14247,12756,0.098711319,4.9338934301542645
14246,12755,0.220907653,53.110894879191164
14245,12772,0.19035751,53.11098529256803
14244,12757,0.109595351,145.47662413206427
14243,13847,0.464433253,27.71007831587509
14242,12802,0.124400123,27.710078301491983
14241,12855,0.365742021,27.710078306022876
13847,14240,0.505356317,27.709983330223412
14239,13845,0.198137459,13.85503914848588
14238,12880,0.057223955,27.710078300067984
14237,4037,0.976019664,27.710078305406
14236,7729,0.860884668,53.11098526008058
14235,7729,0.757688079,53.11098526044481
14234,12878,0.540174435,27.710079814707314
14233,6552,0.315001639,27.71007830672808
14232,12879,0.352680633,53.11098524708016
14231,12886,0.322431103,145.47791759819032
14230,12885,0.300085572,53.11098525149295
14229,12882,0.210366846,13.855039149186853
14228,14217,0.253699844,27.710078306916156
14227,12806,1.154209699,26.55549163212174
14226,13385,0.157799974,17.70366176031454
14225,12884,0.448921119,53.11098525506609
14224,7768,2.067528711,53.11098525408201
14223,1959,1.32928605,53.11098532749278
14222,12845,0.983918547,53.11098531990187
14221,14220,1.15938111,53.1109853168592
14220,12840,0.05506307,53.11098531928916
14219,3651,0.737479753,53.11098532402943
14218,4682,1.122129539,53.11098534222326
14217,13304,0.372973527,80.82106357474878
14216,12809,0.278004286,53.110985327582995
14215,5636,0.185547679,26.55549266273769
14214,12844,0.341489884,53.11098532780005
14213,14212,0.198868039,26.55549266073738
14212,12823,0.256554348,106.2220739957282
14211,13470,0.151242031,53.11088198266019
12823,14210,0.09131453,0.008144867548298051
14209,12824,0.456822021,26.555492656697698
14208,13334,0.037240262,53.11098531746093
14207,12817,0.5473351,53.1067135181565
13836,14206,0.345636646,302.08400691679253
14205,13836,0.113356985,26.55549265188125
14204,12813,0.196225293,27.710078386333585
14203,12791,0.625463613,27.203406358935556
14202,13889,0.398116208,27.710078357093717
14201,14199,0.177525703,9.236692801995112
14198,14200,0.160008142,2750.69650352814
14199,5897,0.341216538,5609.924149232035
13254,14198,1.115202363,5473.68291463336
14197,7886,0.496267813,27.710078383544236
13306,14196,0.447676899,4448.675554026203
14195,1923,0.902468045,53.110985301636205
14194,4604,0.434271029,53.11094415287404
14193,12846,0.499493255,26.555492668340325
14192,2351,0.025490332,8.851830602614767
14191,13519,0.03717408,53.110985468564735
14190,13920,0.099381288,13.277745902865075
14189,13427,0.012517251,9.232468125410742
14188,14187,0.018827067,27.71007837649431
14187,12828,0.043775146,27.710155616545112
14022,14186,0.078455749,26.534143157144317
14185,12858,0.174435234,26.149484406519118
14184,12883,0.219038473,11.56029405664501
14183,13158,0.098532463,17.703661736963223
14182,13833,0.033785266,27.71007827499978
14181,7962,0.443224639,265.5549304081165
14180,13908,0.169778681,88.51831028443893
14179,13739,2.323970658,3.8486201621034746
14178,4340,0.284676884,53.11098521148003
14177,13043,0.922470588,53.11098516535723
14176,13040,1.040038906,53.110985165428204
14174,14175,1.031440442,209.86326544052463
14173,14174,1.206177414,78.37614013793727
3938,14173,1.511161397,103.64129511442938
14172,1971,1.397197712,53.110985158792005
14171,13689,0.389715953,53.11098515499973
14170,4235,0.093200058,26.555492602339612
4235,14169,1.326739107,475.13844361888715
14168,14167,2.313141098,53.11104461845714
14167,13337,2.334359533,106.22202978753491
14166,12895,0.918087603,53.110985197094934
14165,2817,0.842443817,53.11098520673576
14164,14159,0.783814595,53.11098520584251
14163,12919,0.948682113,27.710078226123347
14162,12898,0.390969257,5.399580019879605
14161,13348,0.548176022,53.1109852007749
14160,11969,0.600760402,53.11098521041687
14159,12929,0.74185364,106.22197041405288
14158,13959,0.288227776,27.710078275415647
14157,13964,0.248393646,53.11098519951351
14156,13652,0.14790598,53.11098579435886
14155,12134,0.40244768,53.11098522237291
12135,14154,1.307171438,1157.399424240422
14153,13962,0.063742119,53.110985198869244
14152,13962,0.104272388,53.110985198749724
14151,13240,0.290803439,53.11098520045888
14150,13402,0.225982134,53.11098520079838
14149,13964,0.035066272,53.11098520014435
14148,6584,1.139020767,53.11098520175072
14146,14147,0.931757644,152.3606659451174
13677,14146,1.159595193,99.24968071952793
14145,12940,0.40779999,53.11098521522932
14144,12928,2.405239488,53.110985201880375
14143,12936,0.313861803,26.55549259702192
14142,12959,0.136392308,27.710078245603757
14141,12958,0.202788168,27.710078285677106
14140,12956,0.061920978,13.855039157196948
14139,14137,0.681103829,27.710078299213258
14138,4202,0.169208041,27.71007830119442
14137,14136,0.33597606,80.82106356083399
14136,12956,0.210057695,108.53114186364823
14135,13633,0.156466439,26.555492589719695
14134,13831,0.205063973,27.710078216048927
14133,4845,0.149656561,27.710078217297987
14132,12054,1.288429533,53.110985226518835
14131,14032,0.01961365,53.11098535570584
14130,13458,0.136031686,53.11098657919533
14129,13407,0.113288661,35.40723825245489
14128,14127,0.124062107,64.1437037836407
14127,14126,0.143062376,192.43111137716002
14126,13328,0.516705835,577.2933342478924
14125,3358,1.016753307,53.11098518158581
14124,13920,0.017778375,8.851830601956603
14123,12948,0.117575356,29.72878414509771
14122,979,0.891412387,53.11098521134079
14121,13569,0.739862924,53.110985213945625
14120,14119,0.237126327,53.11098521396169
14119,14118,0.831779105,106.221970428656
14118,13163,0.104902927,79.66647776953157
14117,13067,0.45936826,53.11098521870383
14116,344,0.146251255,27.71007828147055
14115,14114,0.143271269,17.70366174291495
14114,13128,0.351733276,80.82106350631382
14113,13133,0.293011804,27.710054430189516
14112,13159,0.20430627,27.710078275620656
14111,13157,0.443931436,27.7100782627116
14110,13135,0.347482135,27.710078270067765
14109,12893,0.905275529,53.110985254123044
14108,13155,0.435325033,17.70366174404414
13099,14107,0.627609486,113.8474543469208
14106,13105,0.030319417,53.11098523753713
14105,12804,0.33277042,27.710078296469003
14104,12875,0.091779268,53.110985240536415
14103,7142,0.798351696,53.110985224410264
14102,13962,0.190880544,53.11098519849453
14101,14096,0.111242929,53.11098526616066
14100,13480,0.197025422,53.110985261254385
14099,13886,0.111285748,27.710078304823995
14098,13886,0.518773329,27.710078303369208
14096,14097,0.351070212,364.362373542227
13886,14096,0.372586037,283.5413099695049
14095,4202,0.179194865,53.11114749633635
14094,12954,0.684863061,53.11098525047493
14091,14093,0.383362993,2316.30113514047
14092,12955,0.520825005,92.36693236760127
13749,14091,0.293422262,2263.190149867653
14090,13885,0.241377125,53.11098523403995
14089,3914,0.667105789,88.78218868232756
14088,14087,0.135137009,53.11098526125437
14087,13884,0.173179247,53.11098526149429
14086,13884,0.090700391,53.11098526202678
14085,13884,0.242145178,53.110985261489795
14084,13884,1.04796055,53.11098525864715
14082,14083,0.262629615,2245.7630162946007
14076,14082,0.189056467,2218.052937961
14081,13883,0.564186671,53.110985268949186
14080,13882,0.757019606,53.11120412750548
14079,6736,0.106031866,80.82106360854931
14078,14077,1.814034049,53.11098526217891
