from,to,cost,flow,flow_squared,cost_times_flow_squared
14430,13769,0.176627083,0.002414137521559926,5.828059973003503e-06,1.0293932325806674e-06
14429,13074,0.10297971,0.002414137722795787,5.828060944625628e-06,6.001720259398732e-07
14428,14036,0.084388589,0.0012070689043298581,1.4570153398000843e-06,1.2295546867708464e-07
14427,14007,0.011286409,0.0006035342629208084,3.6425360651936344e-07,4.111115182902603e-09
14426,12302,0.137005493,0.01749373961207485,0.0003060309256150767,4.1927917837139916e-05
14425,13669,0.050394028,1.016801632454123e-09,1.0338855597613694e-18,5.210165784741012e-20
14424,13676,0.034078443,0.0012070699177887947,1.4570177864306476e-06,4.9652897584863e-08
14423,4948,0.18516999,0.0012070688573191644,1.4570152263097931e-06,2.6979549488563214e-07
14422,13742,0.068259532,0.0005883690041994747,3.4617808510268145e-07,2.3629954077765207e-08
14421,13924,0.03007714,0.004023561665796132,1.6189048478464143e-05,4.86920277553553e-07
14420,13601,1.329322237,2.0372700903692507e-09,4.150469421113135e-18,5.517311295474207e-18
14419,13072,0.033316222,0.0024141377146468914,5.828060905280515e-06,1.9416897094984662e-07
13765,14418,0.268214434,0.00788818406807881,6.222344789189236e-05,1.66892268578524e-05
14417,13563,0.291478839,0.002011780832378133,4.047262117524053e-06,1.1796912631445926e-06
14416,12907,0.164635216,0.002414137610312428,5.828060401525e-06,9.595039830661152e-07
14415,13325,0.004676758,1.894391031988735e-09,3.588717382079344e-18,1.6783562726378626e-20
14414,12156,0.048456411,1.7364980478973627e-09,3.0154254703513512e-18,1.4611669593121338e-19
14413,12590,0.124635537,0.0012070699235505289,1.4570178003402796e-06,1.8159619596396955e-07
14412,13555,0.258164596,0.0024141378120235346,5.828061375441779e-06,1.5045991104541313e-06
14345,14411,0.14758375,0.016856904006762347,0.0002841552126932005,4.193669187131013e-05
14410,13589,0.170743001,0.0014841619550655123,2.2027367088638837e-06,3.7610187608428286e-07
14409,4520,0.101560229,0.012519322335796772,0.00015673343174757993,1.591788322024009e-05
14408,12477,0.345320787,0.002414137808357554,5.8280613577414135e-06,2.0125507347395536e-06
14407,13778,0.132502947,0.0004023566385684855,1.6189086460013088e-07,2.145101665189532e-08
14406,13272,0.091876438,0.0006035340318015529,3.642533275426379e-07,3.346629826426486e-08
14405,12467,0.141248654,0.0005563828127360022,3.095618343080253e-07,4.37251924257796e-08
14404,13135,0.135783573,0.002414137732093915,5.8280609895195505e-06,7.9135494481888e-07
14403,12614,0.184635981,0.00629774755400336,3.96616242539553e-05,7.322962902182431e-06
14402,13745,0.033437588,0.0006297755105670879,3.9661719371003627e-07,1.3261922316992383e-08
14401,6466,0.23120233,2.0040572875679624e-09,4.016245611854258e-18,9.285653433129802e-19
14400,13213,0.194700145,2.0007014874739734e-09,4.00280644198057e-18,7.793469946605509e-19
14399,12140,0.058684691,0.0024141377337116177,5.828060997330266e-06,3.420179587574785e-07
14398,14011,0.041870986,0.0016882174314634386,2.8500780958970103e-06,1.1933558005221039e-07
