from,to,cost,flow
14429,13074,0.10297971,53.110987
14428,14036,0.084388589,53.110987
14427,14007,0.011286409,26.555494
14426,12302,0.137005493,384.86223
14425,13669,0.050394028,0.0
14424,13676,0.034078443,26.555494
14423,4948,0.18516999,53.110987
14422,13742,0.068259532,1e-12
14421,13924,0.03007714,88.518312
14420,13601,1.329322237,-0.0
14419,13072,0.033316222,53.110987
14418,13765,0.268214434,0.0
14417,13563,0.291478839,88.518312
14416,12907,0.164635216,53.110987
14415,13325,0.004676758,-0.0
14414,12156,0.048456411,-0.0
14413,12590,0.124635537,26.555494
14412,13555,0.258164596,53.110987
14345,14411,0.14758375,53.110987
14410,13589,0.170743001,53.110987
14409,4520,0.101560229,822.71187
14408,12477,0.345320787,53.110987
14407,13778,0.132502947,26.555494
14406,13272,0.091876438,1e-12
14405,12467,0.141248654,25.98174
14404,13135,0.135783573,53.110987
14403,12614,0.184635981,138.5504
14402,13745,0.033437588,1e-12
14401,6466,0.23120233,-0.0
14400,13213,0.194700145,-0.0
14399,12140,0.058684691,53.110987
14398,14011,0.041870986,80.65433
14397,13075,0.503875792,27.71008
14396,13600,0.010787866,26.555494
14395,12712,0.026239823,-0.0
14394,13307,0.390286162,0.0
14393,14027,0.044042082,53.110987
14392,12970,0.341941198,0.0
14391,13930,0.158403318,26.555494
14390,12130,1.578485358,26.555494
14389,12997,0.04501382,92.366934
13310,14388,0.224342401,11.850519
14387,14025,0.036841023,53.110987
14386,13763,0.943060091,0.0
13263,14385,0.059523412,27.115175
14384,12596,0.298114823,275.16451
14383,13138,0.078658863,53.110987
14382,12821,0.168991818,0.0
14381,14380,0.182671212,-0.0
14380,12796,0.153379343,-0.0
14379,12795,0.339278541,0.0
14378,14227,1.804352361,-0.0
14377,14376,0.038412426,0.0
14376,13759,0.59215515,0.0
14375,12797,0.501324906,-0.0
14374,13834,0.042306939,1e-12
14373,6271,0.073939595,27.71008
14372,12824,0.088444875,-0.0
14371,12825,0.755756417,-0.0
14370,12654,0.0425158,53.110987
14369,13291,0.143745274,26.555494
14368,13118,0.590305875,92.366934
14367,12955,0.138447342,53.110987
14366,12321,0.08395709,26.555494
14365,13995,0.034292059,26.555494
14364,4852,0.057561066,26.555494
14363,14079,0.453744041,27.71008
14362,12697,0.247697675,88.518312
14361,14231,0.67886565,92.366934
14360,12694,0.446668351,88.518312
14359,10786,0.418790742,88.518312
14358,13873,0.082896477,53.110987
14357,14356,0.033816381,53.110987
14356,14355,0.04423066,106.22197
14355,14181,0.182710696,159.33296
14354,14181,0.143534735,53.110987
14353,13873,0.046952094,53.110987
14352,14351,0.022364963,53.110987
14351,13359,0.052343114,106.22197
14350,14349,0.032104244,53.110987
13872,14349,0.06951488,53.110987
14348,13871,0.188274558,0.0
14347,13869,0.023730878,10.419758
14346,13809,0.028011385,53.110987
14345,13506,0.17871965,0.0
14344,13032,0.118309622,102.51241
14343,13027,0.058577636,53.110987
14342,13032,0.049574353,1e-12
14341,1199,0.381688678,1e-12
14340,13031,0.193033399,53.110987
14339,14338,0.08414176,27.71008
14338,13557,0.353894162,55.420161
14337,13867,0.243697133,53.110987
14336,13029,0.316037672,53.110987
14335,4289,0.237673339,1e-12
14334,2568,0.643006028,53.110987
5816,14333,0.334594438,46.577602
14332,13866,0.203479135,0.0
14331,12743,0.284769585,53.110987
14330,12751,0.3136151,0.0
14329,12746,0.271951633,224.44264
14328,1495,0.100566981,0.0
14327,13577,0.121708207,53.110987
14326,12743,0.257850043,92.366934
14325,13864,0.359647775,53.110987
14324,12743,0.205782454,53.110987
14323,13864,0.127212166,53.110987
14322,13037,0.187965853,53.110987
14321,5945,0.617535157,53.110987
14320,2348,0.545856408,53.110987
14319,13861,0.167637611,53.110987
14318,13859,0.175665974,53.110987
14317,13859,0.319593967,53.110987
14316,12712,1.297726498,53.110987
14315,13861,0.381592495,53.110987
14314,13861,0.426016045,53.110987
14313,12731,0.151650668,53.110987
14312,7696,0.341786817,53.110987
14311,14310,0.330682685,53.110987
14310,14309,0.348553708,106.22197
14309,12729,0.793336458,159.33296
14308,12727,0.08911698,53.110987
14307,12672,0.105642905,53.110987
14306,13857,0.425030579,92.366934
14305,12766,0.24817855,0.0
14304,14301,0.110749453,27.71008
14303,14285,0.079118802,27.71008
